Bubble,Age,Score,Race,LogBubble
32,54,0.875,Asian,1.505149978
101,54,1.346534653,Black,2.004321374
15,54,1,Multiple,1.176091259
7,54,2,Native American,0.84509804
425,54,0.957647059,White,2.62838893
30,55,0.666666667,Asian,1.477121255
90,55,1.466666667,Black,1.954242509
8,55,1.375,Multiple,0.903089987
9,55,0.777777778,Native American,0.954242509
433,55,1.23556582,White,2.636487896
21,56,1,Asian,1.322219295
75,56,1.08,Black,1.875061263
11,56,2,Multiple,1.041392685
5,56,1.6,Native American,0.698970004
458,56,1.137554585,White,2.660865478
30,57,1.2,Asian,1.477121255
77,57,1.233766234,Black,1.886490725
9,57,1.444444444,Multiple,0.954242509
5,57,0.8,Native American,0.698970004
414,57,1.243961353,White,2.617000341
22,58,0.409090909,Asian,1.342422681
76,58,0.973684211,Black,1.880813592
15,58,3.066666667,Multiple,1.176091259
10,58,1.3,Native American,1
467,58,0.897216274,White,2.669316881
20,59,1.2,Asian,1.301029996
86,59,1.046511628,Black,1.934498451
6,59,0.166666667,Multiple,0.77815125
4,59,1.75,Native American,0.602059991
451,59,0.858093126,White,2.654176542
27,60,0.444444444,Asian,1.431363764
75,60,0.52,Black,1.875061263
8,60,2.125,Multiple,0.903089987
8,60,1.75,Native American,0.903089987
433,60,0.942263279,White,2.636487896
21,61,0.619047619,Asian,1.322219295
75,61,1,Black,1.875061263
13,61,1.615384615,Multiple,1.113943352
8,61,3,Native American,0.903089987
426,61,0.988262911,White,2.629409599
24,62,0.25,Asian,1.380211242
66,62,0.666666667,Black,1.819543936
9,62,1.444444444,Multiple,0.954242509
6,62,1,Native American,0.77815125
438,62,0.828767123,White,2.641474111
24,63,0.416666667,Asian,1.380211242
87,63,1.011494253,Black,1.939519253
5,63,0.2,Multiple,0.698970004
5,63,0.8,Native American,0.698970004
432,63,1.053240741,White,2.635483747
22,64,1.045454545,Asian,1.342422681
75,64,0.786666667,Black,1.875061263
4,64,1.75,Multiple,0.602059991
3,64,1.666666667,Native American,0.477121255
