Race,Score,Age,Race,LogBubble
Native American,0.125,50,Native American,2.079441542
White,1.007228916,50,White,6.02827852
Asian,0.814814815,51,Asian,3.295836866
Black,1.289156627,51,Black,4.418840608
Multiple,0.25,51,Multiple,2.079441542
Native American,1,51,Native American,0
White,0.918575064,51,White,5.973809612
Asian,0.971428571,52,Asian,3.555348061
Black,1.6,52,Black,4.553876892
Multiple,3.666666667,52,Multiple,1.098612289
Native American,2.555555556,52,Native American,2.197224577
White,1.032634033,52,White,6.061456919
Asian,0.861111111,53,Asian,3.583518938
Black,0.946666667,53,Black,4.317488114
Multiple,1,53,Multiple,2.397895273
Native American,2.25,53,Native American,2.079441542
White,1.026506024,53,White,6.02827852
Asian,0.875,54,Asian,3.465735903
Black,1.346534653,54,Black,4.615120517
Multiple,1,54,Multiple,2.708050201
Native American,2,54,Native American,1.945910149
White,0.957647059,54,White,6.052089169
Asian,0.666666667,55,Asian,3.401197382
Black,1.466666667,55,Black,4.49980967
Multiple,1.375,55,Multiple,2.079441542
Native American,0.777777778,55,Native American,2.197224577
White,1.23556582,55,White,6.070737728
Asian,1,56,Asian,3.044522438
Black,1.08,56,Black,4.317488114
Multiple,2,56,Multiple,2.397895273
Native American,1.6,56,Native American,1.609437912
White,1.137554585,56,White,6.126869184
Asian,1.2,57,Asian,3.401197382
Black,1.233766234,57,Black,4.343805422
Multiple,1.444444444,57,Multiple,2.197224577
Native American,0.8,57,Native American,1.609437912
White,1.243961353,57,White,6.025865974
Asian,0.409090909,58,Asian,3.091042453
Black,0.973684211,58,Black,4.33073334
Multiple,3.066666667,58,Multiple,2.708050201
Native American,1.3,58,Native American,2.302585093
White,0.897216274,58,White,6.146329258
Asian,1.2,59,Asian,2.995732274
Black,1.046511628,59,Black,4.454347296
Multiple,0.166666667,59,Multiple,1.791759469
Native American,1.75,59,Native American,1.386294361
White,0.858093126,59,White,6.11146734
Asian,0.444444444,60,Asian,3.295836866
Black,0.52,60,Black,4.317488114
Multiple,2.125,60,Multiple,2.079441542
Native American,1.75,60,Native American,2.079441542
White,0.942263279,60,White,6.070737728
Asian,0.619047619,61,Asian,3.044522438
Black,1,61,Black,4.317488114
Multiple,1.615384615,61,Multiple,2.564949357
Native American,3,61,Native American,2.079441542
White,0.988262911,61,White,6.054439346
Asian,0.25,62,Asian,3.17805383
Black,0.666666667,62,Black,4.189654742
Multiple,1.444444444,62,Multiple,2.197224577
Native American,1,62,Native American,1.791759469
White,0.828767123,62,White,6.08221891
Asian,0.416666667,63,Asian,3.17805383
Black,1.011494253,63,Black,4.465908119
Multiple,0.2,63,Multiple,1.609437912
Native American,0.8,63,Native American,1.609437912
White,1.053240741,63,White,6.068425588
Asian,1.045454545,64,Asian,3.091042453
Black,0.786666667,64,Black,4.317488114
Multiple,1.75,64,Multiple,1.386294361
Native American,1.666666667,64,Native American,1.098612289
White,0.908136483,64,White,5.942799375
Asian,0.888888889,65,Asian,3.295836866
Black,0.917808219,65,Black,4.290459441
Multiple,0.375,65,Multiple,2.079441542
Native American,2.25,65,Native American,1.386294361
White,0.848341232,65,White,6.045005314
Asian,1.882352941,66,Asian,2.833213344
Black,0.659090909,66,Black,4.477336814
Multiple,1.173913043,66,Multiple,3.135494216
Native American,1.8,66,Native American,1.609437912
White,0.845588235,66,White,6.011267174
Asian,1.347826087,67,Asian,3.135494216
Black,0.611111111,67,Black,4.276666119
Multiple,0.75,67,Multiple,1.386294361
Native American,1.25,67,Native American,1.386294361
White,0.761388286,67,White,6.133398043
Asian,0.52173913,68,Asian,3.135494216
Black,0.492063492,68,Black,4.143134726
Multiple,1.142857143,68,Multiple,1.945910149
Native American,0.5,68,Native American,0.693147181
White,0.774712644,68,White,6.075346031
Asian,0.7,69,Asian,2.995732274
Black,0.738095238,69,Black,3.737669618
Multiple,1.636363636,69,Multiple,2.397895273
Native American,0.666666667,69,Native American,1.791759469
White,0.736842105,69,White,5.834810737
Asian,0.625,70,Asian,2.772588722
Black,0.827586207,70,Black,4.060443011
Multiple,1.333333333,70,Multiple,1.098612289
Native American,1.333333333,70,Native American,1.098612289
White,0.790273556,70,White,5.796057751
Asian,1.125,71,Asian,2.772588722
Black,0.777777778,71,Black,3.988984047
Multiple,1,71,Multiple,1.609437912
Native American,1.571428571,71,Native American,1.945910149
White,0.801587302,71,White,5.934894196
Asian,1,72,Asian,2.890371758
Black,0.921568627,72,Black,3.931825633
Multiple,1.8,72,Multiple,1.609437912
Native American,0,72,Native American,1.098612289
White,0.70694864,72,White,5.802118375
Asian,1.058823529,73,Asian,2.833213344
Black,0.791666667,73,Black,3.871201011
Multiple,0.125,73,Multiple,2.079441542
Native American,1,73,Native American,0.693147181
White,0.794964029,73,White,5.627621114
Asian,0.909090909,74,Asian,2.397895273
Black,0.675,74,Black,3.688879454
Multiple,1,74,Multiple,2.197224577
Native American,0,74,Native American,0
White,0.783269962,74,White,5.572154032
Asian,0.428571429,75,Asian,2.63905733
Black,0.806451613,75,Black,3.433987204
Multiple,2.25,75,Multiple,1.386294361
Native American,NA,75,Native American,#NAME?
White,0.620817844,75,White,5.59471138
Asian,1,76,Asian,2.197224577
Black,1.125,76,Black,3.465735903
Multiple,0,76,Multiple,0
Native American,NA,76,Native American,#NAME?
White,0.7578125,76,White,5.545177444
Asian,1.142857143,77,Asian,2.63905733
Black,0.657894737,77,Black,3.63758616
Multiple,0.5,77,Multiple,1.791759469
Native American,NA,77,Native American,#NAME?
White,0.737068966,77,White,5.446737372
Asian,2.909090909,78,Asian,2.397895273
Black,0.815789474,78,Black,3.63758616
Multiple,2.4,78,Multiple,1.609437912
Native American,2,78,Native American,0.693147181
White,0.605504587,78,White,5.384495063
Asian,1.6,79,Asian,2.302585093
Black,1.296296296,79,Black,3.295836866
Multiple,0.666666667,79,Multiple,1.098612289
Native American,0,79,Native American,0.693147181
White,0.637254902,79,White,5.318119994
Asian,0.714285714,80,Asian,2.63905733
Black,0.733333333,80,Black,3.401197382
Multiple,1,80,Multiple,0
Native American,0,80,Native American,0
White,0.727272727,80,White,5.342334252
Asian,1.222222222,81,Asian,2.197224577
Black,0.620689655,81,Black,3.36729583
Multiple,0,81,Multiple,0.693147181
Native American,10,81,Native American,0
White,0.983957219,81,White,5.231108617
Asian,1,82,Asian,1.386294361
Black,1.285714286,82,Black,2.63905733
Multiple,1.666666667,82,Multiple,1.098612289
Native American,0,82,Native American,1.386294361
White,0.670886076,82,White,5.062595033
Asian,1.333333333,83,Asian,1.098612289
Black,0.964285714,83,Black,3.33220451
Multiple,0.5,83,Multiple,1.386294361
Native American,NA,83,Native American,#NAME?
White,0.513333333,83,White,5.010635294
Asian,0.25,84,Asian,2.079441542
Black,0.523809524,84,Black,3.044522438
Multiple,0,84,Multiple,1.098612289
Native American,1,84,Native American,0
White,0.624203822,84,White,5.056245805
Asian,1.2,85,Asian,3.688879454
Black,0.567010309,85,Black,4.574710979
Multiple,1,85,Multiple,2.302585093
Native American,1.142857143,85,Native American,1.945910149
White,0.68596882,85,White,6.800170068
